lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
79,0,105.0,12,7,3,3,0,0,0,1
158,1,123.25,5,25,4,4,0,0,3,0
5,0,77.0,11,28,2,0,1,0,0,1
215,2,96.3,8,8,4,2,1,0,0,1
99,1,80.75,4,27,3,6,2,0,0,1
87,0,75.0,12,18,3,2,2,0,0,1
2,1,148.0,8,21,4,0,2,0,0,1
135,1,126.0,7,5,4,2,0,0,0,1
192,1,99.45,8,18,4,5,2,0,0,0
77,0,147.6,8,26,4,2,2,0,3,0
0,0,117.04,10,29,4,1,1,0,0,1
81,0,65.0,3,25,3,2,2,0,0,0
55,0,104.0,4,6,3,1,0,1,0,1
6,1,114.0,9,21,4,2,1,3,0,1
11,1,152.67,6,2,4,3,0,0,3,1
11,0,77.0,10,19,3,2,1,0,0,1
5,2,221.38,10,1,4,2,2,0,6,1
72,0,87.3,4,3,4,1,2,0,0,0
0,0,59.04,8,1,4,0,1,3,0,1
2,0,89.0,3,10,4,1,0,3,0,0
31,1,95.0,5,15,2,4,2,0,0,1
145,0,94.5,8,29,3,1,2,1,0,1
177,1,72.25,6,30,3,3,0,0,0,1
6,1,90.0,8,3,2,1,0,0,3,1
13,2,260.4,4,11,4,4,1,1,5,1
90,0,89.25,10,25,4,4,2,0,0,1
66,0,88.2,4,2,4,1,1,0,0,0
106,0,94.5,7,12,4,6,2,3,0,0
85,0,71.0,2,3,4,4,1,0,0,1
76,1,93.6,11,3,4,3,0,0,0,0
34,1,81.9,3,12,4,1,0,0,0,1
28,1,75.18,11,3,4,3,0,0,0,1
2,1,60.83,2,13,4,1,0,3,0,1
6,2,85.63,8,16,4,5,3,0,0,1
60,0,60.0,10,12,3,3,1,0,0,1
221,2,79.5,12,29,4,3,0,3,0,0
178,2,127.93,8,22,4,3,1,0,0,0
90,0,150.3,8,16,4,11,4,0,3,0
41,0,85.6,6,28,3,1,0,0,0,1
15,0,86.0,2,18,3,3,0,0,0,1
124,1,105.3,8,1,4,2,1,0,0,1
279,0,110.0,10,12,4,3,0,0,0,0
41,1,65.0,12,27,3,1,0,0,0,1
58,0,105.3,4,13,4,2,0,0,0,0
346,1,115.0,9,13,4,2,0,1,0,0
1,0,91.0,2,19,2,1,0,0,0,1
28,0,74.8,12,20,4,5,0,0,0,0
44,1,78.49,3,13,4,2,2,0,0,0
110,0,120.0,10,9,3,0,1,0,0,0
3,1,96.5,11,5,4,3,0,0,1,1
26,0,75.0,10,17,3,1,2,0,3,1
41,0,83.0,9,4,3,1,0,1,0,1
81,0,76.5,10,16,3,4,2,0,0,1
256,0,90.0,6,15,3,2,0,1,0,1
47,0,168.3,7,24,4,1,2,0,3,1
12,0,159.0,9,19,4,1,1,0,0,1
13,1,95.0,4,18,4,0,1,0,0,1
103,1,150.3,8,7,4,1,2,0,3,1
243,1,95.58,6,19,4,0,2,0,1,1
4,1,75.35,1,10,4,14,6,0,0,1
10,0,97.0,3,13,4,0,1,3,0,0
199,2,70.44,8,2,4,4,0,0,0,0
75,1,96.78,10,2,4,0,2,0,3,1
103,0,205.0,12,31,3,1,2,0,0,0
144,1,177.65,5,27,4,2,2,0,5,0
49,1,73.95,2,23,4,4,0,0,0,1
327,0,76.0,9,9,3,4,2,1,0,1
45,0,65.0,4,10,2,0,1,0,0,0
130,2,139.5,9,29,4,3,0,0,3,1
149,1,144.14,6,4,4,5,2,0,3,0
69,2,93.6,12,24,4,1,2,0,0,1
112,1,117.9,8,16,4,2,0,0,0,1
56,0,126.9,5,21,4,1,2,0,0,0
0,0,97.32,4,23,4,1,0,0,0,1
185,0,103.5,12,16,4,2,1,0,3,1
292,0,91.79,12,30,4,3,2,0,0,0
193,2,106.71,9,10,4,1,2,0,0,0
45,0,85.5,6,18,3,1,1,0,0,1
1,1,179.0,6,14,4,2,0,0,0,1
1,2,120.0,10,25,4,1,0,3,0,1
56,0,85.5,9,20,3,1,0,0,0,1
10,2,105.0,9,8,4,4,0,0,0,1
123,1,162.0,9,20,4,5,1,0,3,0
110,1,139.95,7,22,4,2,2,0,3,1
42,0,94.5,4,11,4,1,1,3,0,1
82,0,82.45,3,29,4,4,0,0,0,1
10,2,124.0,9,1,3,1,0,0,0,1
104,0,141.3,7,18,4,4,1,0,3,0
254,0,90.95,10,25,4,5,0,0,0,0
0,0,135.0,5,24,4,1,0,0,0,0
60,0,204.0,11,7,4,2,1,3,4,0
151,0,80.0,1,19,3,3,0,0,0,1
178,0,124.5,8,18,4,3,0,0,0,0
237,0,89.25,9,14,4,2,1,0,0,0
42,1,91.8,11,2,4,4,0,0,0,1
45,0,60.0,1,16,3,1,2,0,0,1
17,3,73.88,10,1,4,2,0,0,0,1
180,1,100.0,5,2,3,1,1,0,0,1
10,0,110.0,9,30,0,1,0,0,3,0
50,0,60.0,11,17,3,3,0,0,3,1
23,0,149.0,6,18,4,1,2,0,0,0
3,1,31.0,2,26,2,2,0,0,0,1
61,2,109.8,9,1,4,3,1,0,0,1
161,0,130.0,3,25,4,2,1,1,0,0
107,0,117.28,11,6,4,2,2,0,3,1
346,0,90.0,9,13,3,2,0,1,0,1
1,0,135.0,5,11,3,1,0,0,0,1
275,0,90.0,10,5,3,4,1,0,0,0
134,0,94.5,5,17,4,3,0,3,0,0
94,1,96.13,4,8,4,2,2,3,0,1
68,0,116.1,5,10,4,3,0,3,0,0
55,0,168.3,9,20,4,3,0,0,3,0
15,1,109.0,5,31,4,3,0,3,0,1
128,1,96.3,6,26,4,0,2,0,0,1
5,1,99.0,4,2,4,1,0,3,0,1
164,0,100.0,10,2,3,2,0,0,0,1
38,1,80.3,1,23,4,1,0,0,0,1
27,1,111.0,4,25,4,0,1,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
101,1,134.1,8,20,4,1,1,0,0,1
15,0,88.8,3,4,4,2,0,0,3,0
17,2,104.0,11,23,4,3,0,0,0,1
21,1,119.0,10,19,4,3,0,3,0,1
12,0,95.0,10,12,2,3,1,0,0,1
279,0,110.0,10,12,3,3,0,0,0,0
67,0,117.6,10,19,4,4,0,0,3,0
0,1,112.0,2,23,4,4,0,0,0,1
270,0,80.0,4,20,3,4,0,0,0,1
92,0,70.0,10,7,3,4,0,0,0,1
66,0,75.0,10,9,4,2,1,0,0,0
304,0,89.0,11,3,3,3,0,0,0,0
19,0,95.0,10,3,2,2,1,0,0,1
43,0,86.75,1,14,4,3,0,0,1,0
107,0,79.22,10,23,3,2,2,0,0,1
19,0,0.0,12,16,4,0,0,3,0,1
0,0,139.0,3,20,4,0,1,0,3,1
150,1,80.75,9,6,3,3,0,0,0,1
184,2,128.7,10,17,4,3,1,0,3,0
72,1,61.21,4,4,4,3,1,3,0,1
30,0,121.0,9,30,3,2,0,1,0,1
91,0,85.5,4,25,4,2,1,3,0,0
63,1,149.4,9,8,4,3,0,0,3,0
137,0,103.09,8,2,4,5,2,0,0,0
1,0,79.0,2,26,4,1,0,3,0,1
186,0,68.68,10,28,3,1,0,0,0,1
13,1,128.71,10,18,4,5,2,0,0,1
107,1,119.7,8,21,4,1,2,0,0,1
223,2,89.25,10,4,4,0,2,0,0,1
94,0,134.1,8,5,4,2,1,0,0,0
30,0,99.0,4,13,4,4,0,3,0,0
118,0,110.0,6,6,3,2,1,0,0,1
81,0,90.9,6,23,4,1,0,0,0,0
13,0,131.6,4,14,3,1,0,1,0,1
48,1,168.3,8,24,4,4,0,0,3,1
386,1,115.0,10,23,4,0,2,1,0,0
0,2,0.0,2,10,1,1,0,0,3,1
109,2,80.75,4,25,4,4,1,3,0,1
3,1,112.0,5,21,3,1,1,1,0,1
68,1,88.4,12,8,4,3,1,0,0,1
73,0,62.5,10,28,3,1,0,0,0,1
60,2,135.9,8,8,4,3,1,0,0,1
5,2,90.0,8,24,4,3,1,0,0,1
221,0,65.0,10,17,3,1,2,0,0,1
197,0,113.4,12,21,3,4,1,1,0,1
17,2,79.0,2,16,4,4,0,3,0,0
52,0,140.4,5,31,4,5,0,0,3,1
7,0,174.0,4,21,4,3,0,1,3,1
90,1,126.9,8,20,4,1,1,0,0,1
1,0,60.0,2,28,3,1,2,0,0,0
265,1,115.0,6,24,3,2,0,1,0,0
18,3,122.5,9,4,4,0,2,0,0,1
130,3,71.6,5,1,4,2,2,0,0,1
1,1,159.0,9,15,4,1,0,3,0,1
213,0,130.0,6,7,3,3,0,0,0,0
19,0,118.15,9,19,4,0,1,0,0,0
28,2,88.4,11,28,4,5,1,0,0,1
100,1,140.0,9,28,3,4,0,1,0,1
175,0,112.63,8,31,4,4,0,0,0,0
24,1,147.9,12,21,4,4,0,0,5,1
34,1,98.1,5,22,4,1,2,3,0,1
91,0,92.65,12,8,3,3,0,0,0,1
2,1,57.98,2,5,4,2,1,3,0,1
54,0,125.1,8,26,4,1,0,3,0,0
116,0,61.0,2,28,4,1,2,0,0,0
118,0,107.95,5,1,4,3,2,0,3,1
114,1,87.05,5,14,4,2,2,0,3,1
226,1,70.0,10,29,3,2,2,0,0,1
224,1,86.63,8,1,4,2,1,0,1,1
206,2,96.3,7,25,4,0,1,0,0,1
1,1,72.38,12,6,4,2,0,0,0,1
244,2,89.4,9,29,4,1,0,3,0,0
4,1,76.0,1,4,4,0,1,0,0,1
71,1,126.0,5,10,3,3,0,1,0,1
5,1,136.0,4,21,4,3,0,0,3,1
31,2,149.4,9,9,4,2,2,0,3,1
157,2,102.86,10,22,4,5,2,0,0,0
80,2,149.4,9,17,4,3,2,0,3,1
83,1,135.9,8,1,4,3,1,0,0,1
66,0,75.0,10,9,3,2,1,0,0,0
68,2,116.45,4,1,4,2,2,0,3,1
338,0,90.67,10,7,3,2,1,0,0,1
23,1,147.9,11,22,4,4,0,0,5,0
68,1,135.9,5,10,4,3,0,0,0,1
71,2,146.7,7,24,4,0,1,0,3,1
153,0,122.91,12,29,4,3,2,0,0,1
54,0,85.0,8,11,3,3,2,0,0,0
52,2,116.1,5,13,4,2,1,3,0,1
144,2,132.88,7,30,4,4,2,0,3,0
80,0,108.0,10,9,3,2,0,1,3,1
9,0,95.0,10,30,3,1,0,0,0,1
102,1,63.86,4,2,4,1,2,0,0,1
5,2,107.67,11,19,4,1,2,0,0,1
32,0,65.55,12,27,4,2,2,0,3,1
52,2,88.4,12,1,4,3,1,0,0,1
28,1,134.37,7,7,4,3,0,3,0,1
104,1,108.0,10,9,4,0,1,3,0,0
5,1,89.0,5,29,4,0,1,3,0,1
7,1,154.0,7,11,4,0,1,0,0,1
100,1,150.3,8,26,4,2,2,0,3,1
233,0,86.62,8,11,4,2,0,0,1,0
2,0,102.7,8,2,4,1,0,0,0,1
9,0,89.0,4,8,4,1,0,3,0,0
102,0,109.0,10,16,3,2,0,1,0,1
58,0,109.65,5,12,4,3,1,0,0,0
51,1,123.3,9,1,4,3,1,0,3,0
273,0,87.0,7,17,3,2,0,1,0,1
109,0,72.25,7,18,4,6,3,0,0,0
65,0,122.65,12,21,3,4,0,1,0,1
59,0,102.6,6,27,4,3,1,3,0,0
192,0,68.23,10,31,3,2,1,0,0,1
20,1,88.0,12,4,4,0,2,3,0,1
418,0,107.0,9,26,4,2,1,1,0,0
102,0,40.67,1,3,3,1,2,0,0,1
27,1,110.0,10,28,4,2,2,3,0,1
25,2,111.4,4,15,4,3,2,0,0,1
14,2,149.0,10,26,4,2,0,0,0,1
15,0,106.33,12,7,4,3,0,0,0,1
34,2,90.9,10,18,4,3,2,0,0,1
28,1,130.66,7,2,4,3,2,3,0,1
39,1,138.06,4,24,4,3,2,0,3,0
81,0,73.9,4,3,4,3,2,3,0,0
21,0,161.33,9,16,4,3,0,0,5,1
157,0,127.0,5,5,4,3,0,0,3,0
50,1,52.0,1,14,3,3,0,0,0,1
30,0,98.1,5,25,4,1,0,3,0,0
1,2,80.0,8,4,4,5,1,0,0,1
6,0,110.0,10,26,0,4,1,0,3,1
48,0,94.5,4,11,4,1,1,3,0,0
0,0,106.33,11,27,4,1,2,0,0,1
59,1,90.51,7,24,4,4,2,0,0,1
113,2,137.21,5,16,4,5,2,0,3,1
83,0,75.0,12,18,3,0,2,0,0,1
45,1,139.5,10,7,4,2,2,0,3,0
44,2,98.8,11,22,4,2,0,0,0,1
292,0,115.0,7,21,4,2,0,1,0,0
14,1,110.8,6,8,3,4,0,0,0,1
16,0,114.57,10,3,4,5,2,0,0,1
3,2,132.6,5,16,4,2,1,0,3,1
179,1,90.95,7,17,4,2,2,0,0,1
36,0,112.0,10,13,3,3,0,1,0,1
158,1,126.9,9,16,4,1,0,0,0,0
7,1,118.2,12,31,4,4,2,0,3,1
180,1,98.1,10,10,4,0,1,3,0,1
30,2,85.5,9,16,4,2,0,0,0,1
39,0,129.7,9,25,4,0,1,0,0,0
7,1,156.0,5,4,4,3,0,0,3,1
175,0,78.88,10,27,3,3,2,0,3,1
201,1,103.5,8,9,4,2,0,3,0,0
83,0,112.2,9,30,3,1,0,1,0,1
0,0,75.0,8,11,4,1,0,0,0,1
43,0,144.23,8,29,4,3,1,0,3,1
8,0,86.6,6,26,3,0,1,3,0,1
103,1,106.59,7,15,4,5,2,0,0,1
45,1,67.15,3,10,4,3,2,3,0,1
18,2,174.0,9,15,4,3,0,0,3,1
166,3,87.5,11,12,4,4,2,0,0,1
257,0,101.5,7,1,4,2,0,1,0,0
63,1,63.75,3,10,4,3,1,3,0,1
187,1,99.45,8,6,4,6,4,0,0,0
301,1,115.0,7,30,3,1,1,1,0,0
1,0,112.2,9,30,3,1,0,1,0,1
72,0,79.56,4,11,4,4,1,0,0,1
5,0,0.0,12,1,1,0,0,0,0,1
52,0,99.9,4,7,4,1,0,0,0,0
126,1,83.12,5,15,4,2,2,0,3,1
128,2,123.3,8,11,4,3,0,0,0,1
40,0,60.0,11,7,3,1,2,0,3,1
47,1,74.8,12,7,4,4,0,3,0,1
49,0,93.15,7,11,4,0,1,3,0,0
9,1,149.0,9,15,4,2,0,3,0,0
167,0,122.4,10,1,4,2,2,0,3,0
166,2,73.6,4,21,4,3,0,0,1,1
109,1,182.18,12,8,4,3,0,0,6,1
14,1,89.0,4,3,4,0,2,3,0,0
17,0,97.0,3,11,4,1,0,3,0,0
0,0,160.0,9,27,2,1,0,0,3,1
46,0,104.4,4,1,4,2,0,0,3,0
207,2,108.9,10,4,4,1,0,0,0,0
7,2,98.13,11,24,4,3,1,0,0,1
418,0,75.0,9,26,4,2,1,0,0,0
73,1,87.3,4,5,4,1,0,0,0,1
32,0,73.0,11,20,3,2,0,0,0,1
132,2,143.1,6,11,4,1,1,0,0,1
163,0,100.0,6,5,3,2,2,0,0,0
112,0,100.0,6,2,3,2,0,0,0,1
125,0,87.13,7,3,4,2,2,3,0,0
71,0,120.0,6,14,3,3,0,0,0,1
19,0,149.0,10,3,4,2,1,0,0,0
245,0,110.0,7,6,3,4,2,0,0,0
12,1,180.0,10,21,4,2,0,0,0,1
301,0,90.0,7,30,3,1,1,1,0,1
14,1,110.0,6,26,4,0,1,0,0,1
11,2,135.0,4,27,4,4,1,0,0,0
189,0,72.25,8,8,3,3,1,0,0,1
5,0,68.0,12,19,4,1,1,3,0,1
133,0,114.3,5,17,4,3,0,0,3,1
105,0,75.0,4,6,3,1,0,0,0,0
7,2,125.8,12,29,4,3,1,0,3,1
14,1,114.0,9,15,4,3,0,0,0,1
172,0,112.32,7,15,4,5,2,0,0,0
6,0,0.0,12,10,4,2,0,1,0,1
18,1,129.0,12,31,4,1,1,3,0,1
191,0,95.0,6,23,3,3,0,0,0,1
76,0,69.12,3,24,4,4,2,0,0,1
230,0,137.0,9,6,4,5,0,1,0,0
80,0,140.4,5,21,4,1,2,0,3,0
92,0,149.4,9,9,4,2,2,0,3,0
196,0,158.95,7,24,4,5,2,0,5,0
14,0,62.5,5,27,3,1,0,0,0,1
11,0,66.0,1,30,2,1,0,0,0,1
1,0,76.5,1,8,4,2,0,3,0,1
18,0,80.0,12,11,3,0,1,0,0,1
8,0,130.0,11,5,3,1,0,0,0,1
65,0,161.5,3,20,4,2,2,0,5,0
80,0,75.0,4,24,3,1,2,0,0,1
47,0,72.25,8,28,3,1,2,0,0,1
335,1,90.0,10,13,3,3,0,0,0,0
188,0,130.0,6,15,3,2,0,0,0,0
167,0,78.2,10,5,3,2,0,0,0,0
2,2,85.0,7,6,3,3,0,0,0,1
22,1,139.0,8,21,4,1,2,3,0,1
0,3,0.0,1,27,1,1,0,0,0,1
87,0,126.9,5,22,4,1,2,0,0,0
174,0,95.67,9,22,3,3,0,0,0,1
12,1,130.0,2,5,4,2,1,0,3,1
67,0,75.0,12,2,3,2,1,0,0,1
286,0,90.0,10,16,3,0,1,0,0,0
107,0,116.1,6,14,4,2,0,3,1,0
39,0,101.5,8,14,3,2,0,1,0,1
109,0,89.4,10,24,4,2,1,3,0,0
63,2,88.4,11,17,4,3,1,0,0,1
143,0,90.0,8,25,3,3,0,0,0,1
36,1,72.07,9,25,4,0,1,3,0,1
155,1,118.8,8,18,4,1,0,0,3,0
49,4,150.3,7,1,4,2,1,0,3,1
44,0,121.61,4,30,4,2,2,0,0,1
1,0,95.0,5,25,0,1,0,0,0,0
121,2,58.91,2,15,4,3,1,0,1,1
4,2,133.0,9,22,4,3,0,3,0,1
76,0,80.75,4,12,4,4,0,3,0,0
21,0,67.0,11,21,2,0,1,0,0,1
181,2,76.5,8,17,4,0,1,0,0,1
186,0,83.83,8,26,4,2,2,0,1,0
113,0,90.0,11,11,3,1,0,0,0,1
15,2,148.5,4,7,4,3,1,0,3,1
62,0,94.8,4,25,4,2,1,3,0,1
130,1,116.1,5,30,4,1,1,3,0,1
54,2,149.4,8,19,4,2,1,0,3,1
55,2,86.4,12,8,4,3,0,0,0,1
85,0,162.3,8,19,4,2,1,0,3,0
5,0,0.0,10,21,4,1,0,0,0,1
128,1,90.0,11,26,4,1,1,0,0,0
70,0,100.0,6,3,3,2,0,0,0,1
88,2,143.1,5,11,4,3,0,0,0,1
50,0,85.0,5,19,3,2,0,3,0,1
43,4,88.4,11,30,4,4,0,0,0,1
12,0,89.0,7,20,4,1,0,3,0,0
9,1,0.0,12,10,1,1,0,0,5,1
137,1,75.66,11,16,4,4,2,0,0,1
3,1,98.0,1,22,4,2,0,0,0,1
172,0,95.0,6,24,4,2,0,0,0,0
105,1,61.09,12,26,4,3,1,3,0,1
91,0,80.0,9,30,3,2,1,0,0,1
147,1,96.5,4,4,4,3,1,0,1,0
78,1,89.25,10,31,4,6,3,0,0,0
45,0,76.5,7,5,3,1,0,0,0,1
2,0,95.0,11,24,3,1,0,0,0,1
135,1,103.5,8,9,4,3,0,3,0,1
120,2,88.38,8,20,3,5,2,1,0,1
259,0,90.0,5,5,4,3,0,0,0,0
48,1,76.5,3,17,4,1,0,0,0,0
9,1,106.0,12,16,4,1,0,0,3,1
7,2,81.0,2,5,4,1,0,3,0,1
66,0,75.0,11,24,3,3,0,0,0,1
92,1,97.41,4,24,4,3,2,1,0,1
8,2,224.5,10,2,4,4,2,0,5,1
7,0,107.0,5,21,3,1,0,0,3,1
115,0,76.0,2,27,3,2,2,0,0,1
35,0,81.9,3,7,4,2,1,0,0,0
74,0,109.0,9,18,3,2,0,1,0,1
12,0,87.0,1,7,4,3,2,0,0,1
36,2,96.3,10,21,4,4,0,0,0,1
121,1,88.4,12,24,4,3,2,0,0,1
64,1,85.93,10,25,4,2,0,0,3,1
102,0,101.5,10,16,3,2,0,1,0,0
219,0,108.0,9,4,3,1,0,1,0,0
168,0,85.0,4,22,4,2,1,0,0,0
26,0,91.2,11,17,4,3,0,0,3,1
160,1,85.0,11,20,4,3,2,0,0,0
7,0,130.67,8,13,4,1,2,0,0,0
73,0,80.75,4,2,3,2,2,0,0,1
1,2,138.0,8,16,4,1,2,0,0,1
345,2,78.3,12,20,4,2,0,0,0,0
162,0,115.0,10,14,4,2,2,0,0,0
14,0,73.0,5,27,3,1,0,0,0,1
17,1,166.0,7,8,4,2,0,0,3,0
91,2,127.8,7,16,4,1,2,0,3,1
49,0,60.0,11,16,3,2,1,0,3,1
0,1,96.0,12,1,4,2,0,0,0,1
43,1,75.54,6,9,4,1,0,3,0,0
237,1,107.53,10,12,4,4,0,0,0,0
48,0,94.88,10,25,3,3,2,1,1,1
257,0,80.0,7,1,3,2,0,1,0,1
151,0,71.0,1,19,3,2,0,0,0,1
95,2,77.86,12,7,4,4,0,0,1,1
8,0,108.57,5,10,4,2,0,0,3,0
60,0,48.0,9,21,3,1,1,0,0,0
195,0,72.0,12,4,3,4,2,0,0,1
138,1,109.8,6,29,4,3,0,0,3,0
3,0,125.0,4,16,4,1,0,0,0,1
12,0,65.0,8,5,2,3,0,0,0,1
137,2,132.3,10,3,4,4,1,0,3,1
191,1,80.75,5,12,3,2,0,0,0,1
124,2,156.61,12,26,4,3,1,0,5,0
85,1,167.8,8,3,4,6,2,0,3,1
119,2,146.7,6,29,4,2,0,0,0,1
258,0,100.3,10,2,4,5,2,0,0,0
100,2,219.6,5,14,4,1,1,1,3,0
107,1,140.25,6,28,4,6,2,1,0,1
275,0,62.8,6,4,3,1,1,0,0,0
9,0,104.8,5,31,4,3,0,0,0,1
0,0,92.86,7,3,4,0,1,3,0,1
3,1,116.0,4,20,4,1,0,0,3,1
22,0,95.0,10,25,3,1,0,0,0,1
23,1,68.53,9,12,4,0,1,3,0,1
40,0,72.76,9,19,4,1,2,0,0,1
24,0,122.0,1,31,4,1,2,1,0,1
86,0,137.7,7,26,4,2,0,0,3,1
38,1,67.6,3,5,4,1,0,3,0,1
17,0,92.67,12,8,4,3,0,3,0,1
181,2,118.0,5,23,4,2,1,0,0,0
15,1,141.0,5,2,4,1,1,0,0,1
322,0,52.0,12,9,3,2,0,0,0,1
1,1,230.0,11,10,4,1,0,0,5,1
200,0,150.45,9,20,4,5,1,0,0,0
193,1,100.8,6,22,4,2,0,0,0,0
3,0,195.0,9,26,4,0,1,3,4,1
219,0,76.67,9,4,3,2,1,0,0,1
12,1,92.0,12,26,3,3,1,0,3,1
87,0,80.75,6,11,3,2,2,0,0,1
3,1,81.0,8,10,4,3,1,3,0,1
1,0,121.0,6,11,4,1,0,0,0,1
116,0,61.0,2,28,3,1,2,0,0,0
23,1,115.0,4,27,4,1,0,3,0,1
5,0,80.0,2,24,2,4,0,0,0,1
7,0,0.0,5,31,1,1,0,0,0,1
308,2,78.3,11,23,4,3,0,0,0,0
46,1,117.9,7,4,4,2,1,0,0,1
37,0,95.0,9,20,4,2,2,0,0,1
89,1,71.67,4,8,4,2,2,0,3,1
29,1,100.28,3,10,4,3,2,0,0,1
197,1,85.5,8,1,4,1,1,3,0,1
52,1,149.4,7,31,4,0,2,0,3,1
271,0,85.67,9,21,3,3,0,0,0,1
272,0,90.1,7,28,4,3,2,0,0,0
47,0,65.0,12,16,2,1,0,0,0,1
69,1,88.4,7,28,3,5,2,0,0,1
13,1,75.0,10,6,3,3,0,0,3,1
80,0,85.0,9,4,3,4,2,0,0,1
320,1,115.0,8,18,3,2,0,1,0,0
33,1,104.4,9,2,4,1,0,0,0,1
126,0,130.5,8,6,4,1,2,0,0,0
258,0,110.0,10,16,3,0,1,0,0,0
29,0,96.9,11,14,4,3,1,0,3,1
7,1,128.0,8,23,4,1,0,3,0,1
5,0,89.0,4,5,4,1,0,3,0,1
84,1,187.85,5,13,4,2,2,0,5,1
8,1,72.0,2,18,3,3,1,0,0,1
4,0,87.0,2,7,3,0,2,0,0,1
52,1,99.0,3,21,4,0,1,0,0,1
48,0,75.0,10,31,3,2,1,0,0,1
119,2,129.6,9,22,4,3,0,0,0,1
0,0,148.67,9,7,4,2,1,0,0,1
11,0,99.0,5,25,4,1,0,3,0,1
35,0,118.8,4,22,4,2,2,0,3,0
237,0,128.4,10,13,4,3,0,0,3,0
14,0,100.0,10,15,3,2,0,0,0,1
155,0,177.35,5,22,4,5,3,0,5,0
15,0,54.75,10,23,3,2,2,0,0,1
8,0,119.0,9,1,4,1,0,3,0,1
70,2,109.8,12,25,4,1,2,0,0,1
17,1,198.9,5,13,4,2,0,0,5,0
74,0,80.0,9,18,3,2,0,1,0,1
54,0,66.5,10,16,3,2,2,0,0,1
2,0,70.0,2,17,3,4,1,0,0,1
163,1,112.0,7,14,3,3,0,0,0,0
49,0,65.0,9,22,2,1,0,0,0,1
1,1,190.0,9,27,4,1,0,0,0,1
50,2,126.0,10,16,4,2,2,0,0,1
98,1,79.2,12,2,4,2,0,3,0,1
15,0,40.67,2,12,3,2,1,0,0,1
